Sr_No,Location_Coordinates,Hospital_Name,Specialties,Address_Original_First_Line,State,District,Pincode,Telephone,Mobile_Number,Emergency_Num,Facilities,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Latitude,Longitude
11089,"23.6692956, 86.151112",Chc Peterwar,[],Peterwar,Jharkhand,Bokaro,829121.0,,,,,,,,23.6692956,86.151112
11094,"23.6692956, 86.151112",Fahad Hospital,[],Jario,Jharkhand,Bokaro,829149.0,,,,,,,,23.6692956,86.151112
11096,"24.0506712, 84.9329741","Referal, Simariya",[],Simariya,Jharkhand,Chatra,825103.0,,,,,,,,24.0506712,84.9329741
11097,"23.8562744, 85.0306242",Jivan Jyoti,[],Tandwa,Jharkhand,Chatra,825321.0,,,,,,,,23.8562744,85.0306242
11098,"23.8562744, 85.0306242","PHC, Tandwa",[],Tandwa,Jharkhand,Chatra,825321.0,,,,,,,,23.8562744,85.0306242
11099,"23.8562744, 85.0306242",Raj Nandini Hospital,[],"Garilong,Tandwa",Jharkhand,Chatra,825321.0,,,,,,,,23.8562744,85.0306242
11100,"24.2210641, 84.8646113",Adhikary Nursing Home,[],Pakaria,Jharkhand,Chatra,825401.0,,,,,,,,24.2210641,84.8646113
11102,"26.7687273, 82.1438468",Apollo Nursing Home And Research Centre,[],"Gudri Bazar,Near-Allahabad Bank",Jharkhand,Chatra,825401.0,,,,,,,,26.7687273,82.1438468
11111,"24.4341431, 84.813774","PHC, Hanterganj",[],Hunterganj,Jharkhand,Chatra,825403.0,,,,,,,,24.4341431,84.813774
11112,"24.2084411, 84.6535984","PHC, Pratappur",[],Pratappur,Jharkhand,Chatra,825404.0,,,,,,,,24.2084411,84.6535984
11113,"24.2084411, 84.6535984",Shri Ram Sevasadan,[],Pratappur,Jharkhand,Chatra,825404.0,,,,,,,,24.2084411,84.6535984
11114,"24.2974766, 85.1621946","PHC, Itkhori",[],Itkhori,Jharkhand,Chatra,825408.0,,,,,,,,24.2974766,85.1621946
11116,"24.2666863, 86.643929",Baidyanath Shankar Eye Hospital,[],"Thana Road, Deoghar",Jharkhand,Deoghar,814112.0,,,,,,,,24.2666863,86.643929
11118,"24.4763201, 86.6913222",Dr Manju Banker,[],,Jharkhand,Deoghar,814112.0,,,,,,,,24.4763201,86.6913222
11121,"24.4763201, 86.6913222",PHC Kairan,[],Kairan,Jharkhand,Deoghar,814112.0,,,,,,,,24.4763201,86.6913222
11122,"24.5168566, 86.6459944",PHC Jasidih,[],Jasidih,Jharkhand,Deoghar,814142.0,,,,,,,,24.5168566,86.6459944
11123,"24.2345989, 86.8383485",PHC Sarath,[],Sarath,Jharkhand,Deoghar,814149.0,,,,,,,,24.2345989,86.8383485
11124,"24.4763201, 86.6913222",PHC Polojori,[],Polojari,Jharkhand,Deoghar,814150.0,,,,,,,,24.4763201,86.6913222
11125,"24.4763201, 86.6913222",PHC Sarwan,[],Sarwan,Jharkhand,Deoghar,814150.0,,,,,,,,24.4763201,86.6913222
11126,"24.446304, 86.50943",PHC Devipur,[],Devipur,Jharkhand,Deoghar,814152.0,,,,,,,,24.446304,86.50943
11127,"24.4889158, 86.7859894",PHC Mohanpur,[],Mohanpur,Jharkhand,Deoghar,814157.0,,,,,,,,24.4889158,86.7859894
11128,"24.2653802, 86.6480173",Anumandal Hospital,[],Madhupur,Jharkhand,Deoghar,815353.0,,,,,,,,24.2653802,86.6480173
11129,"24.2669594, 86.6504031",PHC Madhupur,[],Madhupur,Jharkhand,Deoghar,815353.0,,,,,,,,24.2669594,86.6504031
11130,"23.7986312, 86.4399031",Ashirvad Nursing Home,[],"H.E.School Road,Hirapur",Jharkhand,Dhanbad,826001.0,,,,,,,,23.7986312,86.4399031
11134,"23.7956531, 86.4303859",Laxmi-Prayag Nursing Home,[],Jora Phatak Road,Jharkhand,Dhanbad,826001.0,,,,,,,,23.7956531,86.4303859
11135,"27.7032289, 85.3112169",Namdhari Hospital and Research Center,[],"Everest Building, Naya Bazar",Jharkhand,Dhanbad,826001.0,,,,,,,,27.7032289,85.3112169
11136,"23.8005591, 86.4434011",Park Clinic,[],"Park Market, Hirapur",Jharkhand,Dhanbad,826001.0,,,,,,,,23.8005591,86.4434011
11138,"23.8176161, 86.4685118",Pragati Medical and Research Centre,[],"Main Road, Saraidhela",Jharkhand,Dhanbad,826001.0,,,,,,,,23.8176161,86.4685118
11139,"12.3081978, 76.6608517",R.C. Hazra Memeorial Hospital,[],Telephone Exchange Road,Jharkhand,Dhanbad,826001.0,,,,,,,,12.3081978,76.6608517
11140,"23.797091, 86.4402463",Ray Chaudhary Clinic,[],"Gyan Mukherjee Road , Hirapur",Jharkhand,Dhanbad,826001.0,,,,,,,,23.797091,86.4402463
11141,"23.7956531, 86.4303859",Sanjeevani Nursing Home,[],Near Central Bank,Jharkhand,Dhanbad,826001.0,,,,,,,,23.7956531,86.4303859
11142,"23.8089855, 86.4188244",Shankar Diagnostic Center and Nursing Home,[],Polytechnic Road,Jharkhand,Dhanbad,826001.0,,,,,,,,23.8089855,86.4188244
11143,"23.7956531, 86.4303859",Suyash Clinic and Nursing Home,[],Katras Road,Jharkhand,Dhanbad,826001.0,,,,,,,,23.7956531,86.4303859
11146,"23.8053048, 86.4560479","Bharat Coking Coal Ltd, Central Hospital",[],Jagjiwan Nagar,Jharkhand,Dhanbad,826003.0,,,,,,,,23.8053048,86.4560479
11148,"23.8148581, 86.4516219",Dr Jyotir Bhushan Healthcare And Research Pvt Ltd,[],Karmik Nagar Saraidhela,Jharkhand,Dhanbad,826004.0,,,,,,,,23.8148581,86.4516219
11150,"19.1247154, 73.0699597",Sunjeevani Nursing Home,[],"Near Central Bank, Dhansar",Jharkhand,Dhanbad,828106.0,,,,,,,,19.1247154,73.0699597
11152,"23.7956531, 86.4303859",PHC Goindpur,[],Govindpur Block,Jharkhand,Dhanbad,828109.0,,,,,,,,23.7956531,86.4303859
11153,"23.7956531, 86.4303859",Yaslok Hospital,[],Govindpur Dhanbd,Jharkhand,Dhanbad,828109.0,,,,,,,,23.7956531,86.4303859
11156,"23.7987842, 86.3040762",Choudhary Nursing Home,[],Katrasgarh,Jharkhand,Dhanbad,828113.0,,,,,,,,23.7987842,86.3040762
11160,"23.7956531, 86.4303859",Dwarka Das Jalan Memorial Hospital,[],Bartand,Jharkhand,Dhanbad,828128.0,,,,,,,,23.7956531,86.4303859
11162,"23.7956531, 86.4303859",Shakti Nursing Home and Research Center,[],Jorafatak Roaf,Jharkhand,Dhanbad,828128.0,,,,,,,,23.7956531,86.4303859
11165,"23.747887, 86.7868768",Lions Club Raghunath Kharkia Memorial Eye Hospital,[],Chirkunda,Jharkhand,Dhanbad,828202.0,,,,,,,,23.747887,86.7868768
11166,"23.745887, 86.7930087",Prasad Nursing Home,[],"Station Road, Kumardhubi Taldanga",Jharkhand,Dhanbad,828203.0,,,,,,,,23.745887,86.7930087
11167,"23.7956531, 86.4303859",Puja Poly Clinic,[],"G T Road, Egarcoor",Jharkhand,Dhanbad,828203.0,,,,,,,,23.7956531,86.4303859
11168,"23.8005886, 86.4285371",Nav Jeevan Clinic,[],"Bekar Bandh, , Near Lake",Jharkhand,Dhanbad,828205.0,,,,,,,,23.8005886,86.4285371
11169,"23.7956531, 86.4303859",PHC Nirsa,[],Nirsa Block,Jharkhand,Dhanbad,828205.0,,,,,,,,23.7956531,86.4303859
11172,"23.6849038, 86.7592355",Panchet Hill Hospital,[],Panchet,Jharkhand,Dhanbad,828206.0,,,,,,,,23.6849038,86.7592355
11173,"23.7720751, 86.8069698",B.P. Neogi,[],Maithon,Jharkhand,Dhanbad,828207.0,,,,,,,,23.7720751,86.8069698
11180,"24.2720898, 87.2427772",St. Ursula Health Centre,[],Baski Bandh Road,Jharkhand,Dumka,814101.0,,,,,,,,24.2720898,87.2427772
11181,"24.5631083, 87.2481505",PHC Ramgarh,[],Phc Ramgarh,Jharkhand,Dumka,814102.0,,,,,,,,24.5631083,87.2481505
11182,"24.357638, 87.422662",PHC Kathikund,[],Phc Kathikund,Jharkhand,Dumka,814103.0,,,,,,,,24.357638,87.422662
11183,"24.1551305, 87.1784334",PHC Masalia,[],Phc Masalia,Jharkhand,Dumka,814110.0,,,,,,,,24.1551305,87.1784334
11185,"24.3946328, 87.0474368",PHC Jarmundi,[],Phc Jarmundi,Jharkhand,Dumka,814141.0,,,,,,,,24.3946328,87.0474368
11186,"24.0345621, 87.4170333",PHC Ranishwar,[],Phc Ranishwar,Jharkhand,Dumka,814144.0,,,,,,,,24.0345621,87.4170333
11193,"22.8089964, 86.2145791",Chaudhary Medicare Hospital Pvt Ltd,[],"166, New Baradwari",Jharkhand,East Singhbhum,831001.0,,,,,,,,22.8089964,86.2145791
11194,"22.8034158, 86.167546",Gangotri Homes Pvt Ltdmedical Center,[],"Jamshedpur , Kadma",Jharkhand,East Singhbhum,831001.0,,,,,,,,22.8034158,86.167546
11195,"22.80989, 86.2076092",Jamshedpur Eye Hospital,[],"Sakchi , Jamshedpur",Jharkhand,East Singhbhum,831001.0,,,,,,,,22.80989,86.2076092
11197,"22.8045665, 86.2028754",Mahatma Gandhi Memorial Hospital,[],Jamshedpur,Jharkhand,East Singhbhum,831001.0,,,,,,,,22.8045665,86.2028754
11200,"24.1972055, 86.2828018",Navjeevan Nursing Home,[],"Court Road,Giridih,Jharkhand",Jharkhand,East Singhbhum,831001.0,,,,,,,,24.1972055,86.2828018
11201,"22.79296, 86.1790513",Steel City Clinic And Research Centre,[],"201,2Nd Floor, Yashkamal Complex Bistupur Jamshedpur Jamshedpur",Jharkhand,East Singhbhum,831001.0,,,,,,,,22.79296,86.1790513
11202,"22.7685113, 86.2560149",Tata Main Hospital,[],Jamshedpur,Jharkhand,East Singhbhum,831001.0,,,,,,,,22.7685113,86.2560149
11204,"22.8045665, 86.2028754",B.R.Seva Sadan and K.K Skin Institute and Research Cen,[],"New Kalimati Road, Garhabasa, Jamshedpur",Jharkhand,East Singhbhum,831003.0,,,,,,,,22.8045665,86.2028754
11208,"22.7745038, 86.1825493",Rajasthan Seva Sadan,[],"M E School Road, Jugsalai, Jamshedpur",Jharkhand,East Singhbhum,831006.0,,,,,,,,22.7745038,86.1825493
11209,"22.8034668, 86.2323641",Arogyam Hospital and Diagnostic Research Center,[],"Sidhgora Market, Main Road,Sidhgora, Jamshedpur",Jharkhand,East Singhbhum,831009.0,,,,,,,,22.8034668,86.2323641
11210,"22.8213838, 86.1726327",Saheli Nursing Home and Research Centre,[],"Road No-07,Extension Road,New Dal;Ma View Colony,Sonari,Jamshedpur",Jharkhand,East Singhbhum,831011.0,,,,,,,,22.8213838,86.1726327
11211,"22.8045665, 86.2028754",Brahmananda Narayana Hrudayalaya,[],"Tamolia, Near Pardih Chowk, Nh-33, Jamshedpur",Jharkhand,East Singhbhum,831012.0,,,,,,,,22.8045665,86.2028754
11213,"22.8045665, 86.2028754",Purnima Netralaya,[],"Bramahanand Nagar, Tamolia,Near Paradih Chowk,Jamshedpur",Jharkhand,East Singhbhum,831012.0,,,,,,,,22.8045665,86.2028754
11214,"22.7936562, 86.2174759",Tinplate Hospital,[],P.O. Golmuri Jamshedpur Jharkhand,Jharkhand,East Singhbhum,831012.0,,,,,,,,22.7936562,86.2174759
11215,"22.8045665, 86.2028754",Vardaan Maternity Home and Research Centra,[],"Ramni Nagar , Baridh, Jamshedpur",Jharkhand,East Singhbhum,831017.0,,,,,,,,22.8045665,86.2028754
11216,"22.8273056, 86.2237127",Ganga Memorial Hospital and Research Centre,[],"Dimna Road, Mango,Jamshedpur",Jharkhand,East Singhbhum,831018.0,,,,,,,,22.8273056,86.2237127
11220,"22.8147026, 86.2652668",Dr P K Ghosh Memorial Hospital and Research Center,[],"At/Po/Ps. Baharagora, Jamshedpur Jamshedpur Jamshedpur",Jharkhand,East Singhbhum,832101.0,,,,,,,,22.8147026,86.2652668
11222,"22.5035411, 86.4541511",PHC Musabani,[],Musabani,Jharkhand,East Singhbhum,832104.0,,,,,,,,22.5035411,86.4541511
11223,"22.9060964, 86.3868332",PHC Patamda,[],"Patamda, East Singhbhum",Jharkhand,East Singhbhum,832105.0,,,,,,,,22.9060964,86.3868332
11225,"22.5892014, 86.47596",Singh Nursing Home and Research Centre,[],"Gopalpur, Ghatsila, East Singhbhum",Jharkhand,East Singhbhum,832303.0,,,,,,,,22.5892014,86.47596
11226,"24.1548982, 83.7995617",Garhwa Nursing Home,[],,Jharkhand,Garhwa,822114.0,,,,,,,,24.1548982,83.7995617
11227,"24.1548982, 83.7995617",Gulab Hospital,[],,Jharkhand,Garhwa,822114.0,,,,,,,,24.1548982,83.7995617
11235,"24.1953406, 86.2806064",Azad Nursing Home,[],Bhandaridih,Jharkhand,Giridih,815301.0,,,,,,,,24.1953406,86.2806064
11236,"24.1821391, 86.2869507",District Hospital,[],Court Road,Jharkhand,Giridih,815301.0,,,,,,,,24.1821391,86.2869507
11237,"24.2069646, 86.270454",G D Bagaria Sewa Sadan,[],"Boro, P.O.- Pachamba",Jharkhand,Giridih,815301.0,,,,,,,,24.2069646,86.270454
11239,"24.1972055, 86.2828018",Navdeep Clinic,[],Boro Pachamba Road,Jharkhand,Giridih,815301.0,,,,,,,,24.1972055,86.2828018
11240,"24.1821391, 86.2869507",Rotary Eye Hospital,[],Main Road,Jharkhand,Giridih,815301.0,,,,,,,,24.1821391,86.2869507
11241,"24.1821391, 86.2869507",Sahyog Hospital,[],Boro,Jharkhand,Giridih,815301.0,,,,,,,,24.1821391,86.2869507
11242,"24.1821391, 86.2869507",Shivam Clinic,[],"Makatpur , Barganda Road, Giridih, Jharkhand",Jharkhand,Giridih,815301.0,,,,,,,,24.1821391,86.2869507
11243,"24.2996453, 86.3604859","PHC, Bengabad",[],Bengabad,Jharkhand,Giridih,815312.0,,,,,,,,24.2996453,86.3604859
11244,"24.1795306, 86.4389904","PHC, Gandey",[],Gandey,Jharkhand,Giridih,815312.0,,,,,,,,24.1795306,86.4389904
11245,"24.1821391, 86.2869507","PHC, Ganwa",[],Ganwa,Jharkhand,Giridih,815313.0,,,,,,,,24.1821391,86.2869507
11246,"24.5091213, 86.1929747","PHC, Deori",[],Deori,Jharkhand,Giridih,815314.0,,,,,,,,24.5091213,86.1929747
11247,"23.9827741, 86.0300126","PHC , Tisri",[],Tisri,Jharkhand,Giridih,815317.0,,,,,,,,23.9827741,86.0300126
11249,"24.3671212, 86.1484661","PHC, Jamua",[],Jamua,Jharkhand,Giridih,815318.0,,,,,,,,24.3671212,86.1484661
11250,"24.1821391, 86.2869507","PHC, Pirtand",[],Pirtand,Jharkhand,Giridih,825108.0,,,,,,,,24.1821391,86.2869507
11252,"24.0784129, 85.8307059","PHC, Bagodar",[],Bagodar,Jharkhand,Giridih,825322.0,,,,,,,,24.0784129,85.8307059
11253,"24.0048238, 86.1382873",Chc Jainagar,[],Chc Jainagar,Jharkhand,Giridih,825324.0,,,,,,,,24.0048238,86.1382873
11256,"25.0560582, 87.2879425",Jiwan Jyoti Nursing Home,[],Gangta Khurd,Jharkhand,Godda,814133.0,,,,,,,,25.0560582,87.2879425
11258,"24.8255215, 87.2135177",Life Care Nursing Home,[],"Gandhi Nager Godda, Jharkhand",Jharkhand,Godda,814133.0,,,,,,,,24.8255215,87.2135177
11265,"23.0425582, 84.5500769",Namrata Hospital,[],Sisai Road,Jharkhand,Gumla,835207.0,,,,,,,,23.0425582,84.5500769
11266,"23.5643742, 84.7157371",Nirala Medical College Hospital and Research Centre,[],Chetar Lohardagga Road,Jharkhand,Gumla,835207.0,,,,,,,,23.5643742,84.7157371
11267,"23.0277077, 84.5893548",St Joseph S Hospital,[],"Dumardih, Urmi",Jharkhand,Gumla,835207.0,,,,,,,,23.0277077,84.5893548
11268,"23.2671996, 84.5510477",PHC Ghaghra,[],Ghaghra,Jharkhand,Gumla,835208.0,,,,,,,,23.2671996,84.5510477
11269,"22.8727059, 84.6453489",PHC Palkot,[],Palkot,Jharkhand,Gumla,835220.0,,,,,,,,22.8727059,84.6453489
11272,"23.1648068, 84.1369175",PHC Dumri,[],Dumri,Jharkhand,Gumla,835230.0,,,,,,,,23.1648068,84.1369175
11273,"22.9536914, 84.4553335",PHC Raidih,[],Raidih,Jharkhand,Gumla,835232.0,,,,,,,,22.9536914,84.4553335
11276,"24.303789, 85.414341",Agrawal Nursing Home,[],Barhi,Jharkhand,Hazaribag,825301.0,,,,,,,,24.303789,85.414341
11277,"23.83008, 85.8407535",Ayusmaan Hospital,[],Mission Hospital Road,Jharkhand,Hazaribag,825301.0,,,,,,,,23.83008,85.8407535
11280,"24.4676805, 85.5933645",Hindustan Nursing Home,[],Block Road Pethia Bagi Jainagar Kodarma Jharkhand,Jharkhand,Hazaribag,825301.0,,,,,,,,24.4676805,85.5933645
11282,"24.4423975, 85.5295316",Malti Nursing Home,[],"Bypass Road, Jhumri Tillaiya",Jharkhand,Hazaribag,825301.0,,,,,,,,24.4423975,85.5295316
11287,"39.2611584, -90.8276282",S B Nursing Home,[],"Opp Town Hall, Near Annada College, Nawabganj Road",Jharkhand,Hazaribag,825301.0,,,,,,,,39.2611584,-90.8276282
11289,"28.6583694, 77.1824971",Shankar Nurshing Home,[],"Anand Chowk, Nawabganj",Jharkhand,Hazaribag,825301.0,,,,,,,,28.6583694,77.1824971
11293,"23.8535687, 85.2163768",P.H.C.Barkagaown,[],Barkagaown,Jharkhand,Hazaribag,825311.0,,,,,,,,23.8535687,85.2163768
11295,"24.1081999, 85.2066964",C.H.C. Katkamsandi,[],Katkamsandi,Jharkhand,Hazaribag,825319.0,,,,,,,,24.1081999,85.2066964
11296,"24.3090249, 85.4104301",Akash Nursing Home,[],Gaya Road Barhi,Jharkhand,Hazaribag,825405.0,,,,,,,,24.3090249,85.4104301
11298,"24.3014389, 85.4255474",P.H.C.Barhi,[],Barhi,Jharkhand,Hazaribag,825405.0,,,,,,,,24.3014389,85.4255474
11299,"24.3861403, 85.2631115",C.H.C. Chouparan,[],Chauparan,Jharkhand,Hazaribag,825406.0,,,,,,,,24.3861403,85.2631115
11300,"19.1503529, 72.8373754",Patliputra Medical College and Hospital,"['Anatomy', 'Physiology', 'Biochemistry', 'Pathology', 'Pharmacology', 'Microbiology', 'FMT', 'PC Medicine', 'General Medicine', 'Pediatrics', 'Skin and VD', 'Psychiatry', 'Radiology', 'General Surgery', 'Orthopaedics', 'Anaesthesia', 'ENT', 'Eye', 'Obstetrics and Gynaecology', '\\nDentistry', 'Dialysis Unit', 'ICU-ICCU']","Patliputra Medical College, BCCL Township",Jharkhand,Hazaribag,825301.0,,,,,Public/ Government,Hospital,Allopathic,19.1503529,72.8373754
11302,"23.9505496, 86.8170132",Gurudeo Astha Seva Sadan,[],,Jharkhand,Jamtara,815351.0,,,,,,,,23.9505496,86.8170132
11303,"28.6488324, 77.162813",Popular Nursing Home,[],"New Town, Rail (Main Road)",Jharkhand,Jamtara,815351.0,,,,,,,,28.6488324,77.162813
11304,"23.9644165, 86.8000306",Vatsalya Hospital and Research Centre,[],New Town,Jharkhand,Jamtara,815351.0,,,,,,,,23.9644165,86.8000306
11305,"23.9505496, 86.8170132",PHC Nala,[],,Jharkhand,Jamtara,815352.0,,,,,,,,23.9505496,86.8170132
11306,"23.9505496, 86.8170132",PHC Narayanpur,[],,Jharkhand,Jamtara,815355.0,,,,,,,,23.9505496,86.8170132
11308,"24.434101, 85.5283473",Bhagwat Clinic and Research Centre,[],"Opposite Parivar Petrol Pump, Ranchi Patna Road, Jhumri Telaiya",Jharkhand,Koderma,825409.0,,,,,,,,24.434101,85.5283473
11314,"24.1488914, 84.6609898",Raj Nandni Seva Sadan,[],"Lawolong Chowk,Lawalong",Jharkhand,Koderma,825410.0,,,,,,,,24.1488914,84.6609898
11316,"24.4378807, 85.5333434",Shubh Labh,[],Block Road Jhumaritelaiya,Jharkhand,Koderma,825410.0,,,,,,,,24.4378807,85.5333434
11318,"23.8522833, 84.1173685",C.H.C Barwadih,[],Barwadih,Jharkhand,Latehar,822111.0,,,,,,,,23.8522833,84.1173685
11320,"23.3965158, 84.1065662",Carmel Hospital,[],Mahuadanr,Jharkhand,Latehar,822119.0,,,,,,,,23.3965158,84.1065662
11321,"23.8297322, 84.7893637",C.H.C Balumath,[],Balumath,Jharkhand,Latehar,829202.0,,,,,,,,23.8297322,84.7893637
11322,"23.7463215, 84.5091102",C.H.C Mahudhar,[],Maudhar,Jharkhand,Latehar,829202.0,,,,,,,,23.7463215,84.5091102
11323,"23.868418, 84.3594626",C.H.C Manika,[],Manika,Jharkhand,Latehar,829202.0,,,,,,,,23.868418,84.3594626
11325,"23.8299602, 84.7837717",Primary Health Centre,[],Balumath,Jharkhand,Latehar,829202.0,,,,,,,,23.8299602,84.7837717
11326,"23.7463215, 84.5091102",Sanjeevani Hospital and Research Centre,[],Sahid Chowk,Jharkhand,Latehar,829202.0,,,,,,,,23.7463215,84.5091102
11327,"23.6771865, 84.7393916",Bhagwati Sewa Sadan,[],Haraiya More Chandwa,Jharkhand,Latehar,829203.0,,,,,,,,23.6771865,84.7393916
11328,"23.6692937, 84.7378707",C.H.C Chandwa,[],Chandwa,Jharkhand,Latehar,829203.0,,,,,,,,23.6692937,84.7378707
11329,"23.6711757, 84.2357828",C.H.C Garu,[],Garu,Jharkhand,Latehar,829204.0,,,,,,,,23.6711757,84.2357828
11330,"23.7463215, 84.5091102",Raj Hospital Chipadohar,[],Chipadohar Main Naka,Jharkhand,Latehar,829204.0,,,,,,,,23.7463215,84.5091102
11331,"23.7463215, 84.5091102",Sadar Hospital Latehar,[],Latehar,Jharkhand,Latehar,829206.0,,,,,,,,23.7463215,84.5091102
11332,"23.3088353, 85.2894456",Sidharth Nursing Home,[],"Patra Toli, Dam Side Dhurwa",Jharkhand,Lohardaga,834004.0,,,,,,,,23.3088353,85.2894456
11333,"23.3993638, 85.3563072",Alam Hospital And Research Centre Pvt Ltd,[],Booty Road Bariatu Ranchi,Jharkhand,Lohardaga,834009.0,,,,,,,,23.3993638,85.3563072
11336,"23.400569, 85.352727",Hill View Hospital And Research Centre,[],Hill View Road Bariatu Ranchi,Jharkhand,Lohardaga,834009.0,,,,,,,,23.400569,85.352727
11337,"23.4002834, 85.3378238",Ivf and Infertility Research Hospital,[],"10, Tagore Hill Road, Morabadi ,Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.4002834,85.3378238
11338,"23.391997, 85.352257",Jharkhand Eye Bank Hospital and Reserch Centre,[],"Bariatu Road, Ranchi-834009(Near Rims Colony)",Jharkhand,Lohardaga,834009.0,,,,,,,,23.391997,85.352257
11339,"23.3440997, 85.309562",Netradham,[],"Near Patel Bhawan , Harmu Hosing Colony , Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.3440997,85.309562
11340,"23.427094, 85.4120565",Pankhuri Health Care,[],"Near Bit More Getalatu , Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.427094,85.4120565
11341,"23.391997, 85.352257",Rahat Nursing Home,[],Bariatu Road(Near Rims-Colony) Ranchi,Jharkhand,Lohardaga,834009.0,,,,,,,,23.391997,85.352257
11343,"23.3922139, 85.3385284",Ranchi Urology Centre,[],"Bhonslebhawan, Harihar Singh Road, Bariatu Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.3922139,85.3385284
11344,"23.3440997, 85.309562",S D A Mission Hospital,[],"Bariatu Raod, 200 Meters West Of Tanki Pnaad. Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.3440997,85.309562
11345,"23.3980889, 85.3549568",Sanjeevani Nursing Home,[],"Behind Shyam Service Centre, Buxi Compound Bariatu Road, Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.3980889,85.3549568
11347,"23.6598999, 84.5392558",Shirdi Sai Hospital and Research Centre,[],"Booty Road,Bariatu",Jharkhand,Lohardaga,834009.0,,,,,,,,23.6598999,84.5392558
11348,"23.3980889, 85.3549568",Surya Hospital and Research Centre,[],"Near Booty Chowk Bariatu Road , Ranchi",Jharkhand,Lohardaga,834009.0,,,,,,,,23.3980889,85.3549568
11349,"23.3801966, 85.3064219",Vivekanand Hospital,[],"Sri Krishna Nagar Colony, Ratu Rd.",Jharkhand,Lohardaga,834009.0,,,,,,,,23.3801966,85.3064219
11351,"23.5418911, 84.8189902",Madhur Seva Sadan,[],"Birla Strite, Kuru",Jharkhand,Lohardaga,835213.0,,,,,,,,23.5418911,84.8189902
11353,"24.6292405, 87.8504676",St. Luke Hospital,[],Hiranpur,Jharkhand,Pakur,816104.0,,,,,,,,24.6292405,87.8504676
11354,"24.0420432, 84.0907246",Bhagwati Hospital,[],"Reanchi Road , Redma, Daltonganj",Jharkhand,Palamu,822101.0,,,,,,,,24.0420432,84.0907246
11356,"24.0420432, 84.0907246",Gauri Kissan Health Care,[],"Police Line Road, Daltonganj",Jharkhand,Palamu,822101.0,,,,,,,,24.0420432,84.0907246
11357,"24.0420432, 84.0907246",Long Life Care,[],"Kund Muhalla, Near Kani Ram Chowk, Daltonganj",Jharkhand,Palamu,822101.0,,,,,,,,24.0420432,84.0907246
11359,"24.0420432, 84.0907246",Prakash Chand Jain Hospital,[],Daltonganj,Jharkhand,Palamu,822101.0,,,,,,,,24.0420432,84.0907246
11361,"24.0420432, 84.0907246",S D Health Centre,[],"Nawahata, Agrasen Bhavan, Daltonganj",Jharkhand,Palamu,822101.0,,,,,,,,24.0420432,84.0907246
11363,"24.0451704, 84.0695157",Vanja Arogaya Kendra,[],"Jail Hata, Daltonganj",Jharkhand,Palamu,822101.0,,,,,,,,24.0451704,84.0695157
11366,"24.0924968, 84.0933652",PHC Meral,[],Garhwa Meral,Jharkhand,Palamu,822113.0,,,,,,,,24.0924968,84.0933652
11372,"24.5421988, 84.2792317",PHC Harihar Ganj,[],Harihar Ganj,Jharkhand,Palamu,822131.0,,,,,,,,24.5421988,84.2792317
11375,"23.6332243, 85.5148735",Chc Mandu,[],Chc Mandu,Jharkhand,Ramgarh,825316.0,,,,,,,,23.6332243,85.5148735
11377,"23.5320922, 85.7205065",Chc Gola,[],Chc Gola,Jharkhand,Ramgarh,829110.0,,,,,,,,23.5320922,85.7205065
11378,"23.6715992, 85.5071469",Brindavan Hospital And Research Centre Pvt Ltd,[],Ranchi Road Po Marar,Jharkhand,Ramgarh,829117.0,,,,,,,,23.6715992,85.5071469
11379,"23.9091095, 85.5162695",C.H.C. Churchu,[],Churchu,Jharkhand,Ramgarh,829117.0,,,,,,,,23.9091095,85.5162695
11381,"23.6329221, 85.3032811",Chc Patratu,[],Db Ptps Patratu,Jharkhand,Ramgarh,829118.0,,,,,,,,23.6329221,85.3032811
11382,"23.6271925, 85.521097",Aman Pathological Lab,[],Gola Road,Jharkhand,Ramgarh,829122.0,,,,,,,,23.6271925,85.521097
11383,"23.6194846, 85.5198442",Life Care Hospital,[],Bijulia Ramgarh Cantt,Jharkhand,Ramgarh,829122.0,,,,,,,,23.6194846,85.5198442
11385,"23.6271925, 85.521097",Narayan Seva Sadan,[],Gola Road,Jharkhand,Ramgarh,829122.0,,,,,,,,23.6271925,85.521097
11386,"22.1910688, 84.5884677",National Nursing Home,[],Near Daily Market Subhash Chowk,Jharkhand,Ramgarh,829122.0,,,,,,,,22.1910688,84.5884677
11390,"23.3440997, 85.309562",Aayushman Nursing Home,[],"Arsandey, Boreya Road",Jharkhand,Ranchi,834001.0,,,,,,,,23.3440997,85.309562
11392,"23.3606834, 85.3278226",Anjuman Islamic Hospital Ranchi,[],Konka Road Ranchi (Konka Depot Toli Ranchi),Jharkhand,Ranchi,834001.0,,,,,,,,23.3606834,85.3278226
11393,"23.3771545, 85.3598951",Bharati Hospital,[],"Kokar Chowk, Hazaribag Road, P.O. -Kokar",Jharkhand,Ranchi,834001.0,,,,,,,,23.3771545,85.3598951
